source_key	parent_source_key	work_big	work_mid	name_raw	name_normalized	path_raw
692d9d024f6930d94437baa6361b92d15f4bb539f4ccb056f9d4cbc2e76d578b	0f74161b28a96d20a1cd347de2d86209e75941c55dc29d08c4e42dd2d7da2b57	토목	댐 및 제방공사	굴착작업	굴착작업	토목 > 댐 및 제방공사 > 굴착작업
b1d74a75671d66b75532f40cc5b88f771345bebcbe7194abaf744e765b10c30f	9039310779ad406faf8b2990ff1819ffac9770f931566c02270ccc7a604f177e	토목	도로 및 포장공사	굴착작업	굴착작업	토목 > 도로 및 포장공사 > 굴착작업
cbbc432f4dfaee7110eb0d9e60f1d2847a243af81ab410031e70620352e44599	740ba6fe62edf748f9e9707a5a8db50176a48e582e46c9aa93a53787d15b5f4d	토목	말뚝공사	굴착작업	굴착작업	토목 > 말뚝공사 > 굴착작업
330eb98e24e71db046d1bbbe72edd8ae3ba8798d1a6d98fdf028d750b6c4ca1e	d5fedcab6dc5723721417460d705395cea2ad4ef0499334acace7b9324335793	토목	지반개량공사	굴착작업	굴착작업	토목 > 지반개량공사 > 굴착작업
9e16bd367f1e87e41e161497c7c905dc5ee925ebb9f51e98ecdcd6c9c55247cf	a90eb6dc876af3ebf1285c8058c262a4560ca5a65a9b4cce20e5c452c67f5d08	토목	지반조사	굴착작업	굴착작업	토목 > 지반조사 > 굴착작업
6946a2cb145c59e8339f4c585625fbc515929b501af55c7bd65f5cb5bbd33f1f	e69cac9d45fe928cd4a40876d9f5ab38e4da36b946be0b4d1183887495d731e4	토목	철근콘크리트공사	굴착작업	굴착작업	토목 > 철근콘크리트공사 > 굴착작업
28fe4c3830476a3710715efb6acafa826db847472ba10ce953192e26f9747bd2	656ab8544db01eb4f69dbbe4e0aed46f8e974318ec2b5a02418d8a6d4121cbb3	토목	철도 및 궤도공사	굴착작업	굴착작업	토목 > 철도 및 궤도공사 > 굴착작업
6866356fa29caa0750f95196c5e5d7564f9963c365b81c0cc56762072f028091	d781735c3affaf0eac8b0645b21bb4e1ada1f24922cf9ba9bf90c033826b21c5	토목	터널공사	굴착작업	굴착작업	토목 > 터널공사 > 굴착작업
50b433c1451221bded4c5446bf7e278229c545f62d931ce4f7887b4ae2edfe1c	53ad3ee18d06b1c5945f1561d9d0a019b575a9f59dba70d67a6f2e7482581949	토목	토공사	굴착작업	굴착작업	토목 > 토공사 > 굴착작업
80c5e92f2ea29da14c41c26d7684d191a1362e41c9455f19ac9ed078004384e4	3004e0d20c6003920e6c7e0d856ddf2908aa975470afa0e46154a70cef1fe097	토목	하천공사	굴착작업	굴착작업	토목 > 하천공사 > 굴착작업
