source_key	seed_proposal_key	name	hierarchy_level	source_path	effective_semantic_kind	exclusion_lane	exclusion_basis	owner_approval_state
2234	dcdc87fbfdd04e61fcd1a9b575481bbf52001a052599186ce2ca3155503b6278	웰포인트	W_LEAF	지반개량및지반보강공사 > 지반배수 > 웰포인트	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2235	651d26f5fd96ec88b64cd831fce6f9e2dc67cbd0e206362f8de3f06ea5c7232b	프렌치드레인	W_LEAF	지반개량및지반보강공사 > 지반배수 > 프렌치드레인	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2236	475cdf24852a149e4328c4d610a9918954f0f313b743d65cf2a7166b45831e1f	대기압공법	W_LEAF	지반개량및지반보강공사 > 지반배수 > 대기압공법	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
224	762f6dec5101d05267921403ca4c5e22f7758b93eecbdc5d628d89d40cc66519	고결공법	W_MID	지반개량및지반보강공사 > 고결공법	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2241	763451e01712cef1200fcb4df095444e8a8e01233c0f2939fa52b1725a1bc0ad	혼합공법	W_LEAF	지반개량및지반보강공사 > 고결공법 > 혼합공법	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2242	3e8b86c09d734222af3783809b022d7127eeb072b7a7ff030038c3ba3ea18d78	석회파일공법(SCW)	W_LEAF	지반개량및지반보강공사 > 고결공법 > 석회파일공법(SCW)	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2243	5d3d4ac1200842a48ae6ae2fb60ec3f88d5295d4f29a782df81560ef22b1030b	전기침투공법	W_LEAF	지반개량및지반보강공사 > 고결공법 > 전기침투공법	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2244	2760295a3494d834d6b598592d24de5039b5594b0537433f4a838d007fb4342b	약액주입공법	W_LEAF	지반개량및지반보강공사 > 고결공법 > 약액주입공법	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2245	dc5c550947cb26c76c85d3c29617c814b5faa53e0b574af8b1ebfbd95eb46b93	동결공법	W_LEAF	지반개량및지반보강공사 > 고결공법 > 동결공법	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2246	c0c0b989c18296cd610b69ad8af49ff55b8d99be38ae4f9d58d1b2fa40101133	소결공법	W_LEAF	지반개량및지반보강공사 > 고결공법 > 소결공법	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
