review_concept_key	concept_form	source_key	seed_proposal_key	name	hierarchy_level	source_path	effective_semantic_kind	source_candidate_origin	owner_approval_state
71dbb0b83d309315c35fcbf9d7055443a6d44554e4252d03160dcbdf9250ddb7	SINGLETON	0584	d8577db875314f8d0b83fef0e193ce811d7df883364fcbea9144df423df23142	구조물건전성평가	W_LEAF	현장유지관리 > 준공및현장정리 > 구조물건전성평가	TASK	ORIGINAL_KEEP	NOT_APPROVED
ae0bfd8637184d3bb5755a2588035c0f1a3b4c90b596581f3b40ce2447ad674f	SINGLETON	0588	d6698a06f1e3bf822e9717dd86e909193fc33440819d2f9e88390e116c54f66e	준공정리	W_LEAF	현장유지관리 > 준공및현장정리 > 준공정리	TASK	ORIGINAL_KEEP	NOT_APPROVED
ba7464ebdf6a54c4e9f41527a34eb43bc81acd1179e83a68a1c0c6244ad03980	SINGLETON	061	081867ef518cac5ab8d9318cafc4ad2f096ba19d213d854765601e26faf0dc5d	장비운반	W_MID	공통장비 > 장비운반	TASK	ORIGINAL_KEEP	NOT_APPROVED
b010f76c574f6761abb7e73d610ed737629be5b00dffea26cbddac07135e7587	SINGLETON	07	15d1005ded119e37d0cd125e9cf855a84b37dc83a13499479c3a2eab00e4ebed	품질시험	W_ROOT	품질시험	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
7f816b587c2698343490e58c8c31a35e35509342329e8286a0bb1f51af5bf77d	SINGLETON	071	68a6a13a045916245ef12e509acca38e94c0967d340181cbbfc4610b5e30ab16	공통품질시험	W_MID	품질시험 > 공통품질시험	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
77913cf6c76479cf46b1386a35a21a5770e9099c5ef13ec823bb75e5ffac0d5e	SINGLETON	072	49813a06650a6f985c06e76617c30edaad73ea0ceb6e97cf7f2851c856627f90	토목품질시험	W_MID	품질시험 > 토목품질시험	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
fce048a6ba4d60e4520ac1f54189361e1b473e1bab9f15c88000e42fa44abe0c	EQUIVALENCE_GROUP	073	f22338c2fa2f7baddde670cf1456d4e9c9ce671e9b581c77d50f04b2efeaf4e7	건축품질시험	W_MID	품질시험 > 건축품질시험	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
08f2ec8c8ef4832940ddeaacbbe0a52ca511891b9d7d478c2c8b634cb8fdf9aa	SINGLETON	074	c4d2e53292f7f2dce0706eaac891e670de489055530f5dd638d1ed29cb748c82	기계품질시험	W_MID	품질시험 > 기계품질시험	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
04252d0126624a986ae71af54d04a5b3ed3123ab5450ff27177253377d4f8072	SINGLETON	075	58895943352c99121b8df0e9f379a57cdd394a89d862427afbc6a4074153512c	전기품질시험	W_MID	품질시험 > 전기품질시험	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
c9799e2ea296b0f8b9ee2390e7b49016b7185e8afc2b38a9e707b2f4190d597c	SINGLETON	076	c05dbc4276af0b3ca171e2d997a9c6556ab598889996361e4e20771454cc2f03	통신품질시험	W_MID	품질시험 > 통신품질시험	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
e6792ac2824cbaa4da97676cdff6ef4d5b6a31121a00f9b1ff53a1fdfe10f7c2	SINGLETON	079	e87b2defcb88d58ceb33fa327979423a673675ed305da408d9c5f3db5db049ea	기타품질시험	W_MID	품질시험 > 기타품질시험	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
fce048a6ba4d60e4520ac1f54189361e1b473e1bab9f15c88000e42fa44abe0c	EQUIVALENCE_GROUP	08	ce9fb3e2a46aa2537470b08a1c5b2e396d1977583cbc5910cd14712712d62673	건축품질시험	W_ROOT	건축품질시험	PROCESS	MERGE_CONFIRMED	NOT_APPROVED
027e26195daf3974b7607613c9e172c790e1e9e5e1ec446c5596403eca06c45a	SINGLETON	081	1334e54083a7fdf3929ec117ec6ea2857c20e0f5841608b2ae56964463f22b40	건축선정시험(토공 기초 구조체)	W_MID	건축품질시험 > 건축선정시험(토공 기초 구조체)	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
cb142b6da079d1a3769d2c93db8a4f00f3eaf3f87f940f7212fe5312604d74bf	SINGLETON	085	3cac521404474de20ffd62f1ea54f5a44328bb253c1851e1475197157087ba9a	건축관리시험(토공 기초 구조체)	W_MID	건축품질시험 > 건축관리시험(토공 기초 구조체)	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
47101e3491ef780325de306ffec0253321bfcc93880a0582cd81f57f33ef5c5c	SINGLETON	086	53574fbec4a3d081b29f7bf7be8dfd6256cedd4d479e6c42bf69c8c400ab1cd7	건축관리시험(단열 방수 지붕)	W_MID	건축품질시험 > 건축관리시험(단열 방수 지붕)	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
e6f98a4e40c8b512736f5c704d352e4e0403b85e9c9dc6b920a37212083d5bd5	SINGLETON	087	50c34f99212a685fb0c43afbdd71afd6b0a5d376c07ea999f19274d41ea3fd88	건축관리시험(마감)	W_MID	건축품질시험 > 건축관리시험(마감)	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
de4965442d298972408cfd3261917cde21cb17ba4465a16fef5ff66fa03f586d	SINGLETON	088	b9a104ea29a952a588fa1c116334c584b8ad1f084910a59ffa693f2e92f290e9	건축기계 전기시험	W_MID	건축품질시험 > 건축기계 전기시험	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
